id;name;address;city;state;postal_code;latitude;longitude;created_by;last_modified_by
65;Bengkel Suzuki Asri Juanda Depok;Jl. IR.Haji Juanda Kota Depok, Jawa Barat 16416;;;;106.8177975;-6.3878486;System;System
66;BRI KC Tasikmalaya;Jl. R. Ikik Wiradikarta No. 9 Kelurahan Nagarasari, Kecamatan Cipedes Yudanagara Tasikmalaya, Jawa Barat 46121;;;;108.2202042;-7.325885;System;System
67;ANUGRAH JAYA MOTOR;Jl.Perjuangan No.18, teluk pucung, Bekasi Utara, Jawa Barat 17121;;;;107.018666;-6.221053;System;System
68;Suzuki Bengkel & Showroom;Jl. Margonda Raya Kota Depok, Jawa Barat;;;;106.8177975;-6.3878486;System;System
69;Bengkel Motor Honda;Jalan Margonda Raya No. 368A Kemirimuka Depok Jawa Barat 16423;;;;106.8177975;-6.3878486;System;System
70;Bengkel Honda Motor Muthar;Jl. Raya Muhtar Sawangan Kota Depok, Jawa Barat 16511;;;;106.771614;-6.398041;System;System
71;Ahass Honda;Jl. Radar Auri Kota Depok, Jawa Barat 16452;;;;106.8177975;-6.3878485;System;System
72;ATM Bank BCA 2554-Yogya Mitra Batik;Jl. Mitra Batik Tasikmalaya Jawa Barat 46133;;;;108.219844;-7.319041;System;System
73;CV.Prakarsa Jaya Mandiri;Jl. Mangunsarkoro No.102 Kec. Cianjur Kab. Cianjur, Jawa Barat;;;;107.1417058;-6.8217133;System;System
74;ATM Bank BCA 037H-Indomaret Indihiang Tasikmalaya;Jl. Letjen Ibrahim Adjie No. 188 Sukamajukidul Indihiang Tasikmalaya;;;;108.1955277;-7.2886076;System;System
75;ATM Bank BCA 2698-Tasikmalaya;Jl. HZ Mustofa 300 Tuguraja Cihideung Tasikmalaya, Jawa Barat 46124;;;;108.2178128;-7.336755;System;System
76;Bengkel Honda Millenium Motor;Jalan Nangka Kota Depok, Jawa Barat 16455;;;;106.8177975;-6.3878485;System;System
77;ATM Bank Central Asia (BCA);Tasik Medical Center, JL. H. Zainul Mustofa;;;;108.2207396;-7.3265924;System;System
78;Bengkel Honda Harning Motor;Jalan Raya KSU Parung Serab Kota Depok, Jawa Barat 16412;;;;106.8177975;-6.3878485;System;System
79;Bengkel Honda AHASS 7692 Mitra Motor;Jl. Kukusan Raya Kota Depok, Jawa Barat 16425;;;;106.8177975;-6.3878485;System;System
80;Bengkel Honda Motor Care;Jl. Raya Nangka Kota Depok, Jawa Barat 16455;;;;106.8474949;-6.3920281;System;System
81;ATM Bank BJB KCP Mitra Batik;Jl. Mitra Batik Tasikmalaya Jawa Barat 46131;;;;108.2151228;-7.3184747;System;System
82;Bengkel Motor Kawasaki;Jl. Margonda Raya Beji Kota Depok, Jawa Barat 16431;;;;106.8177975;-6.3878485;System;System
83;ATM Bank BJB CPDP Prov. Wil. Tasikmalaya;Jl. Ir.H. Juanda (By Pass) Bungursari Jawa Barat 46151;;;;108.1861288;-7.3125135;System;System
84;Galeri Indosat Depok;Galeri Indosat Depok Jalan Margonda Raya No. 2 Depok Jawa Barat;;;;106.82171;-6.396071;System;System
85;Dealer Motor Kawasaki Depok;Jl. Raya Margonda No. 501 Pondok Cina, Beji Depok Jawa Barat;;;;106.8177975;-6.3878485;System;System
86;ATM Bank BJB;Pemkot Tasimalaya, JL Ir. H. Juanda, No. 88 Tasikmalaya;;;;108.2003365;-7.3303325;System;System
87;Galeri Indosat Karawaci Tangerang;Ruko Pinangsia Blok L 7, Jl. Pintu Besar Selatan, Karawaci Office Park Tangerang Banten;;;;106.704592;-6.221296;System;System
88;ATM Bank BJB KCP Cikurubuk;JL AH. Witono, No. 36, Cikurubuk Tasikmalaya;;;;108.2059899;-7.3405229;System;System
89;ATM Bank BJB UNSIL;Jl. Siliwangi Tasikmalaya Jawa Barat 46115;;;;108.2282201;-7.346088;System;System
90;ATM Bank BJB Pemkot Tasikmalaya;Jl. Ir. H.Juanda No. 88 Bungursari Tasikmalaya Jawa Barat 46151;;;;108.2021819;-7.3112517;System;System
91;ATM Mandiri;Apotik Wanayasa, JL. Mitra Batik Tasikmalaya;;;;108.2168367;-7.3194554;System;System
92;Indosat Griya Cilegon, Serang;Jl. Jendral Ahmad Yani KM.2 No. 135, Sukmajaya Cilegon Sub-District Banten;;;;106.068667;-6.0247775;System;System
93;Mandiri ATM Mayasari Plaza Arcade;Jl. Pasar Wetan Tasikmalaya Jawa Barat 46121;;;;108.2161849;-7.3264082;System;System
94;SPBU 34.45213;JL Raya Banjar, Banjar;;;;108.541646;-7.403324;System;System
95;Mandala Motor;No. B12B Galaxi Raya, Bekasi Sel. Bekasi, Jawa Barat 17145;;;;106.9688562;-6.254783;System;System
96;Mandiri ATM KC Tasikmalaya Otto Iskandardinata;Jl. Otto Iskandardinata No. 26 Jawa Barat 46113;;;;108.2230219;-7.3583061;System;System
97;Polsek Bogor Utara;JL Raya Pajajaran, No. 26 Bogor 16128;;;;106.8070694;-6.5794722;System;System
98;Mandiri ATM KCP Tasikmalaya Sutisna;Jl. Sutisna Senjaya No. 88 Jawa Barat 46114;;;;108.2222602;-7.3622617;System;System
99;Pertamina Spbu 34-46311;JL. Langen Sari Banjar,Bojongkantong;;;;108.6157643;-7.3768915;System;System
100;Galeri Indosat Serang;Ruko Kepandean 75 E & F Jl. Raya Cilegon Kec. Serang Banten;;;;106.0222398;-5.9957223;System;System
101;SPBU 4453210;Jalan Gatot Subroto;;;;108.675413;-7.333521;System;System
102;SPBU Haji Maud Al-Mahmud;Desa Rejasari, Langensari;;;;108.615956;-7.376686;System;System
103;Pertamina Spbu 34-45308;Legok Kaler Paseh;;;;107.985777;-6.7982589;System;System
104;DENSO Mandala Motor AC Mobil;Jl. Pekayon Jaya No.01, Bekasi Sel, Bekasi, Jawa Barat 17148;;;;106.984906;-6.266041;System;System
105;Mandiri ATM KC Tasikmalaya Mustofa;Jl. KH. Z. Mustofa No. 294 Jawa Barat 46125;;;;108.2131824;-7.3395359;System;System
106;Pertamina Spbu 34-45302;Rancamulya;;;;107.93837;-6.84626;System;System
107;Auto Selamat;Jl. Sultan Agung KM.28, Bekasi Bar, Bekasi, Jawa Barat 17132;;;;106.9776;-6.205176;System;System
108;SPBU Samoja;Jl. Pangeran Kornel No.122 Sumedang , 45311;;;;107.897368;-6.863237;System;System
109;Yps Bengkel Puja;Jl. Nusantara Raya No. 90, Depok, Jawa Barat 16421;;;;106.81428;-6.382532;System;System
110;Mandiri MBU Tasikmalaya Otto Iskandar;Jl. Otto Iskandardinata No. 26 Tasikmalaya Jawa Barat 46113 Jawa Barat 46113;;;;108.2223782;-7.3576145;System;System
111;PT. Sakalaguna Semesta;Jl. Pd. Cabe Raya Pamulang Kota Tgr Sel., Banten;;;;106.7667333;-6.3282654;System;System
112;Mirza Auto Care;JL. Siliwangi Raya, No.10, Kota Bekas, Bekasi,Jawa Barat 17114;;;;106.9962124;-6.2652265;System;System
113;SPBU Alamsari;Jalan Mayor Abdulrahman, 45621;;;;107.930764;-6.834585;System;System
114;Mandiri ATM Apotik Wanayasa;Jl. Mitra Batik Tasikmalaya Jawa Barat 46133;;;;108.217164;-7.3169127;System;System
115;Shop & Drive Pekayon;Jl. A Yani No. 2, Margajaya, Bekasi Selatan, Bekasi, Jawa Barat 17141;;;;106.9914843;-6.2568587;System;System
116;PT. Dian Kencana Puri Prima, Indosat;Jl. Cihampelas No.250 Bandung, Jawa Barat;;;;107.6042011;-6.8883772;System;System
117;SPBU Cikoneng;Ciherang, Sumedang;;;;108.010268;-6.832971;System;System
118;Pertamina Spbu 34-45314;Bugel,Tomo,Sumedang;;;;108.07765;-6.781929;System;System
119;Indofood Sukses Makmur.;JL. Raya Caringin, 353, Padalarang, 40553 Indonesia;;;;107.6397243;-6.8858962;System;System
120;SPBU Prabu Gajah Agung Sumedang;Jl. Prabu Gajah Agung, Spbu 34-45309 Sumedang, 45352;;;;107.916813;-6.840618;System;System
121;Autofun Service;Jl. Achmad Adnawijaya No.28, Bogor Utara, Bogor, Jabar 16152;;;;106.8169224;-6.5816685;System;System
122;Panin Bank - Cicurug;JL. Siliwangi, No. 259, Sukabumi, 43359;;;;106.9361372;-6.9165448;System;System
123;Tri Tunggal Sentosa. CV;JL. Nanjung, No. 68 B, Margaasih;;;;107.5370014;-6.9107916;System;System
124;Indofood Sukses Makmur Cikopo;JL. Raya Cikopo, KM 13, Desa Cikopo Cempaka Mandalasari Kec. Purwakarta Kab. Bandung Bar. 40556, Indonesia;;;;107.6648297;-6.8771407;System;System
125;ATM Bank Danamon;JL Jend. Ahmad Yani, No. 30 Kec. Sukabumi;;;;106.9272955;-6.922649;System;System
126;ATM Danamon Sukabumi Indah Plz;Jl. R. E. Martadinata Kec. Sukabumi Kota Sukabumi, Jawa Barat 43111;;;;106.9292796;-6.9200593;System;System
127;SPBU 34-45309;JL. Prabu Gajah Agung, Situ Kab. Sumedang 45621;;;;107.9168806;-6.8338357;System;System
128;Nawilis Ban Bogor;Jl. Batu Tulis No.70, Bogor Selatan, Bogor, Jawa Barat 16133;;;;106.807675;-6.621132;System;System
129;BMT Agung Sumedang;Jl. Bandung-Sumedang,Jl Geusan Ulun,Alun-alun sumedang;;;;107.9196701;-6.8602698;System;System
130;MASJID TANJUNGSARI;Jl. Raya Tanjung Sari Sumedang Kab. Sumedang, Jawa Barat 45362;;;;107.8013644;-6.9017216;System;System
131;AT TAQWA;JL. Salam panawangan, Panawangan Kec. Ciamis;;;;108.383975;-7.120226;System;System
132;Nurul Jannah;Cihampang, Ciawi Tasikmalaya Jawa Barat;;;;108.2168079;-7.3268822;System;System
133;AN-NUUR;Kec. Cibeureum Tasikmalaya);;;;108.2285202;-7.3710894;System;System
134;AGUNG MANON JAYA;Jl. RTA Prawira Adiningrat, Manonjaya Tasikmalaya Jawa Barat;;;;108.3071123;-7.3510057;System;System
135;Masjid Rajapolah;Manggungsari Rajapolah Jawa Barat;;;;108.188823;-7.208152;System;System
136;Masjid Agung Al Iman;Jl. Mesjid No. 1, Majalengka;;;;108.2248164;-6.851306;System;System
137;BAITURAHMAN (MASJID ITJE TRISNAWATI);Bununglingga, RT. 03/RW. 03, Cibeuti;;;;108.2166483;-7.3307009;System;System
138;AGUNG CIMAHI;Jl.Raya Barat No.2;;;;107.5416228;-6.8728343;System;System
139;Al Istiqlal;JL. Padaasih, Cisaat;;;;106.8573777;-6.9108389;System;System
140;Ar Rohmat;Jln. Leuwigajah Wisma POM II Cimahi;;;;107.542638;-6.901394;System;System
141;Al Islam;JL. H. Haris, 05/05 ,40523;;;;107.547698;-6.8961784;System;System
142;AGUNG CIANJUR;JL. Masjid Agung Kec. Cianjur,Depan alun-alun Cianjur;;;;107.1397904;-6.8212154;System;System
143;BAITURRAHIM;Jalur Jalan Raya Jakarta dan Bandung viapuncak;;;;106.8734623;-6.4798508;System;System
144;AGUNG SUBANG; Alun-Alun Subang;;;;107.7608663;-6.5708404;System;System
145;AL-IKHLAS;Kaliangsana Raya Sukamulya-Purwadadi Kab. Subang, Jawa Barat;;;;107.677811;-6.491952;System;System
146;AGUNG NURUL HUDA;JL. Raya Cisalak Kec. Subang;;;;107.753967;-6.708648;System;System
147;AGUNG ASSALAAM;Yayasan Pondok Pesantren Assalaam Salamjaya, Pabuaran;;;;107.603776;-6.420722;System;System
148;Masjid Agung Garut;Jl. Jendral A. Yani, depan Pendopo Garut;;;;107.900788;-7.21613;System;System
149;AL MARZUQ;Jl. Cimanuk Paminggir 47 Garut;;;;107.88847;-7.202034;System;System
150;AL MUBAROQAH;Jl. Cipanas Ds. Cimanganten Garut;;;;107.884712;-7.185972;System;System
151;AT TAMMAM;Kompl Cipanas RT.03/RW.06 Tarogong Kidul Garut 44151;;;;107.889618;-7.213148;System;System
152;DARUTHOLIBIN;Kp.Korobokan Tarogong Garut 44151 Telp.(0262)540223;;;;107.908699;-7.227906;System;System
153;WAKAF;Jl Ciledug;;;;107.906642;-7.231379;System;System
154;AL YASSIN ;Jl. Guntur Sari;;;;107.906599;-7.20081;System;System
155;Masjid Agung Sukabumi;Cikole Kota Sukabumi, Jawa Barat;;;;106.935123;-6.913989;System;System
156;AL-FAIZIN;Koleberes, RT. 49/17, Warudoyong Kec. Sukabumi;;;;106.918552;-6.928259;System;System
157;AL-MUAWWANAH;JL. Cikoneng, Warung Kiara Kec. Sukabumi;;;;106.752762;-6.948643;System;System
158;AS-SALAMAH;Pancuran Kembang, Cikole Kec. Sukabumi;;;;106.941684;-6.9165;System;System
159;AL FURQON;Kampung Parakan Salak, Kecamatan parakan salak;;;;106.685557;-6.77687;System;System
160;Al Mubasyirin;JL. Pasirmuncang, Sukalarang Kec. Sukabumi;;;;106.726595;-6.833609;System;System
161;Mubarok;JL. Gentong Mas, Sukaraja Kec. Sukabumi;;;;106.955305;-6.849407;System;System
162;Al Huda;JL. Sukasari, Cisaat Kec. Sukabumi;;;;106.882074;-6.89473;System;System
163;AN NUR;Cihideungir, Ciampea 16620;;;;106.6877156;-6.5409428;System;System
164;Masjid Atta'awun;Jl. Raya Puncak;;;;106.9881095;-6.6997897;System;System
165;NURUL YAQIN (MJNY);Kampung Kalen Kancing, RT. 05/02, Sukawangi;;;;107.088984;-6.119972;System;System
166;AL JIHAD;Kota Bekasi ,Bekasi, Jawa Barat;;;;106.983573;-6.269147;System;System
167;AL HIDAYAH Lembah Hijau;Jalan Karet 2 Blok H No.4 Cikarang Sel. Bekasi, Jawa Barat 17530;;;;107.141908;-6.345476;System;System
168;AL-AZHAR JAKAPERMAI;Jl. K.H. Noer Alie (Jl. Raya Kalimalang),Jakapermai, Bekasi Barat;;;;106.9730034;-6.2482905;System;System
169;AGUNG AL BARKAH;JL. Pemda Kota Bekasi;;;;106.9943435;-6.2344155;System;System
170;AL MUHAJIRIN;Jl. Anggrek Blok A4 No.3 Pondokgede Kota Bks, Jawa Barat 17421;;;;106.9419379;-6.2882297;System;System
171;AN NUUR;JL. Pulo Permatasari;;;;106.975425;-6.255192;System;System
172;SITI RAWANI;Perumahan Villa Nusa Indah Jalan Villa Nusa Indah Raya 16969;;;;106.96972;-6.305008;System;System
173;AL IMAN;Zamrud, RW. 011 Blok S, Mustika Jaya;;;;107.031292;-6.293321;System;System
174;KUBAH EMAS (MESJID DIAN AL MAHRI);Jalan Maruyung Raya Meruyung, Limo Depok city Jawa Barat;;;;106.771414;-6.383964;System;System
175;JAMI AL BAROKAH;Jalan Raya Grogol Limo Kota Depok, Jawa Barat 16512;;;;106.790428;-6.37991;System;System
176;BAITUL KAMAL;Margonda Raya No. 54, Pancoran Mas Jawa Barat 16436;;;;106.826292;-6.388782;System;System
177;AL-IKHLASH;Perumahan Depok Maharaja Blok OP Depok Jawa Barat 16435;;;;106.794233;-6.407413;System;System
178;AL BARKAH;Lt. Dasar ITC Depok Jl. Margonda Raya Kota Depok, Jawa Barat 16431;;;;106.823928;-6.393289;System;System
179;ATM Bank Permata Garut;Jl. Ciledug Garut Kota Kab. Garut, Jawa Barat 44112;;;;107.9073504;-7.2271141;System;System
180;ATM Bank BCA 008X-Garut;Jl. Ciledug Garut Kota Kab. Garut, Jawa Barat 44112;;;;107.9072922;-7.2246382;System;System
181;ATM Bank BCA 2853-Toko Yogya Garut;Jl. Siliwangi Garut Kota Kab. Garut, Jawa Barat 44112;;;;107.9010489;-7.2107586;System;System
182;ATM Bank BCA 2435-Alfamart otista;Jl. Otto Iskandardinata Garut Kota Kab. Garut, Jawa Barat 44151;;;;107.8883472;-7.1989177;System;System
183;ATM Bank BCA 6929-Intan Bisnis Center;Jl. Pramuka Garut Kota Kab. Garut, Jawa Barat 44117;;;;107.902131;-7.2123001;System;System
184;ATM CIMB NIAGA (Ramayana Garut);Jl. Guntur Garut Kota Kab. Garut, Indonesia 44182;;;;107.902082;-7.2126329;System;System
185;ATM CIMB NIAGA (Garut A.Yani);Jl. Jenderal Ahmad Yani Timur Garut Kota Kab. Garut, Indonesia 44182;;;;107.9341784;-7.2152426;System;System
186;ATM Bank BJB KK Dishub Garut;Jl. Merdeka No.230 Kel.Haurpanggung Tarogong Kaler Jawa Barat 44151;;;;107.8706427;-7.1754732;System;System
187;ATM Bank BJB Toserba Yogya;Jl. Siliwangi Garut Kota Kabupaten Garut, Jawa Barat 44112;;;;107.9041553;-7.2167719;System;System
188;ATM Bank BJB Apotek Kimia Farma;Jl. Raya Cimanuk Garut Kabupaten Garut, Jawa Barat 44118;;;;107.8992387;-7.2148924;System;System
189;ATM Bank BJB Cabang Garut 2;Jl. Jend. A. Yani Garut Kota Kab. Garut, Jawa Barat 44117;;;;107.9036464;-7.2158323;System;System
190;ATM BRI Lewo;Sukaratu Malangbong Kabupaten Garut, Jawa Barat;;;;108.0481255;-7.0530315;System;System
191;ATM Danamon Garut;Jl. Ciledug Garut Kota Kab. Garut, Jawa Barat 44112;;;;107.9073017;-7.2238962;System;System
192;ATM Bank Permata Yos Sudarso;Jl. Yos Sudarso Cirebon  Jawa Barat 45111;;;;108.572703;-6.7206784;System;System
193;Cendrawasih Hotel;Jl. Rm Soleh;;;;107.295528121;-6.3068679;System;System
194;Johar Hotel;JL. Syeh Quro, No. 51, Talagasari, Kab. Karawang;;;;107.390770118;-6.28826;System;System
195;Hotel Prima Indramayu;Jl. D.I. Panjaitan Kav 19 No. 85, Kec. Indramayu;;;;108.333457119;-6.3355414;System;System
196;1 Stop;Jl. Alternatif Sentul No.39, Sukaraja, Kota Bogor, Jawa Barat 16710;;;;106.839242;-6.520588;System;System
197;Grand Trisula Hotel;Jl. DI Panjaitan No. 77, Kec. Indramayu;;;;108.332754119;-6.3356324;System;System
198;Pertamina Spbu 34-45323;Ciherang, Sumedang;;;;107.873197;-6.859026;System;System
199;ATM Bank Permata GIANT BYPASS & NBSP;Giant Bypass Jl. Brigjend Dharsono West Java 45132;;;;108.54402;-6.7304426;System;System
200;ATM Bank Permata giant gunung Jati;, Jl. Sunan Gunung Jati RT 003 /01. Kel. Pasindanagn Kec. Utara,Slot No. 2 (Dari Kiri) West Java 45152;;;;108.5115606;-6.5957137;System;System
201;ATM Bank BCA 122U-Indomaret Trusmi II;Jl. Syeh Datul Kahfi, Desa Trusmi, Kec Pleret Tegalsari Plered Cirebon, Jawa Barat 45154;;;;108.501633;-6.7030195;System;System
202;ATM Bank BCA 122V-Indomaret Fatahilah II Cirebon;Jl. Raya Fatahilah, Kel Magu, Kec Meru Megu Gede Weru Cirebon, Jawa Barat 45114;;;;108.504613;-6.7145745;System;System
203;ATM CIMB NIAGA (Plered);Jl. Ratya Plered No. 24 Kab.Cirebon,Weru Kidul. Weru Cirebon, Indonesia 45154;;;;108.5156852;-6.7063033;System;System
204;ATM Muamalat Toserba Slamet Ciranjang;Jl. Raya Bandung Kec. Cianjur Kab. Cianjur, Jawa Barat 43282;;;;107.2277236;-6.8060407;System;System
205;ATM Muamalat Toserba Cibeber Cianjur;Jl. Raya Cibeber Toserba Cibeber Sukamanah Kec. Cianjur, Kab. Cianjur, Jawa Barat 43262;;;;107.1325503;-6.9622052;System;System
206;ATM Muamalat Indomaret Ciherang Cianjur;Jl. Raya Bandung-Cianjur, No. 05, Kp. Salomo Rt. /Rw. 03/02 Desa Ciherang Ciherang Kec. Cianjur, Kab. Cianjur, Jawa Barat 40215;;;;107.0457234;-6.761413;System;System
207;ATM Muamalat Alfamidi Gadog Pacet Cianjur;Jl. Raya Cipanas Rt. 003 Rw. 002 Gadog, Pacet Gadog Kec. Cianjur, Kab. Cianjur, Jawa Barat 43253;;;;107.0497608;-6.7314123;System;System
208;ATM Muamalat Ponpes Al-Itihad;Jl. Raya Bandung Km. 03 Rawabango Karang Tengah Pondok Pesantren Al Ittihadm Hegarmanah Kec. Cianjur, Kab. Cianjur43281;;;;107.1842822;-6.810993;System;System
